site,site_type,site_type_season,site_type_season_old,Mesic,Oasis,Xeric
wi_19_7-11A,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_7-11B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_7-11C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AA-9,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AA-9B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_AA-9C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Q-15,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Q-15B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_Q-15C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_R-18,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_R-18B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_R-18C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-18,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-18B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-18C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-21,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-21B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_U-21C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_V-14B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_V-14C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_W-15B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_W-15C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-17,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-17B,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
wi_19_X-17C,CAPIV,Winter_2008-19,wi_19,NA,NA,NA
sp_19_7-11A,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_7-11B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_7-11C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AA-9,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AA-9B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_AA-9C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Q-15,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Q-15B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_Q-15C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_R-18,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_R-18B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_R-18C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-18,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-18B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-18C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-21,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-21B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_U-21C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_V-14B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_V-14C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_W-15B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_W-15C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-17,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-17B,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
sp_19_X-17C,CAPIV,Spring_2008-19,sp_19,NA,NA,NA
au_2000_AA-17,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AA-20,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AB-19,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AC-16,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AD-10,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AD-21,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AE-23,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_AF-12,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_T-11,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_T-13,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_U-12,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_V-13,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_V-14,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_W-15,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_W-17,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_W-6,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_X-8,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_Y-19,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2000_Z-23,ESCA_august,ESCA-Aug_2000-05,au_00,NA,NA,NA
au_2001_AA-17,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AA-20,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AB-19,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AC-16,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AD-21,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AE-23,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_AF-12,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_G-15,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_I-11,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_I-17,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_M-16,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_R-12,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_T-11,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_T-13,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_T-19,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_U-12,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_U-13,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_V-18,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_V-20,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_W-6,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_X-8,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_Y-19,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2001_Z-23,ESCA_august,ESCA-Aug_2000-05,au_01,NA,NA,NA
au_2002_AA-17,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_AC-16,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_F-8,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_G-15,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_I-11,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_I-17,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_L-7,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_M-16,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_N-12,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_R-12,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_X-18,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
au_2002_Y-19,ESCA_august,ESCA-Aug_2000-05,au_02,NA,NA,NA
